ProductID,Category,SubCategory,ProductName,Cost
1,Household,Outdoor,Reveal,105
2,Household,Women,Mrs,1092
3,Sports,Outdoor,Deep,2276
4,Sports,Women,Increase,350
5,Sports,Mobile,Expect,132
6,Household,Women,Citizen,2359
7,Sports,Mobile,Lead,1089
8,Clothing,Women,Notice,1536
9,Clothing,Kitchen,Administration,2793
10,Electronics,Women,Moment,819
11,Clothing,Laptop,Couple,2968
12,Electronics,Outdoor,Behind,2846
13,Electronics,Mobile,Company,272
14,Electronics,Women,Note,185
15,Sports,Kitchen,Investment,2056
16,Clothing,Outdoor,Surface,2841
17,Household,Kitchen,Boy,1373
18,Sports,Mobile,Occur,1857
19,Household,Kitchen,Few,923
20,Electronics,Outdoor,Maybe,171
21,Sports,Outdoor,Open,745
22,Sports,Kitchen,Many,2892
23,Sports,Laptop,Do,617
24,Clothing,Kitchen,Perhaps,928
25,Clothing,Laptop,Business,1238
26,Clothing,Kitchen,Shake,395
27,Household,Outdoor,Clearly,649
28,Household,Men,Citizen,1851
29,Sports,Men,Agent,1454
30,Clothing,Kitchen,Whether,1604
31,Sports,Women,Wait,1382
32,Sports,Women,Soon,1159
33,Sports,Men,Democratic,1576
34,Household,Outdoor,Past,781
35,Electronics,Outdoor,Now,578
36,Clothing,Outdoor,Similar,719
37,Clothing,Mobile,Mean,258
38,Sports,Men,Almost,314
39,Sports,Women,Even,156
40,Electronics,Outdoor,Hear,2824
41,Household,Outdoor,Control,489
42,Electronics,Kitchen,Democratic,1362
43,Clothing,Laptop,Direction,2619
44,Clothing,Men,Every,2319
45,Electronics,Mobile,Pm,1062
46,Electronics,Kitchen,Campaign,888
47,Electronics,Kitchen,Effect,2177
48,Sports,Men,Prove,971
49,Electronics,Mobile,Possible,1745
50,Household,Men,Eight,275
51,Sports,Mobile,Technology,490
52,Sports,Women,Already,1580
53,Sports,Women,Save,297
54,Clothing,Mobile,Seat,2494
55,Clothing,Kitchen,Every,624
56,Household,Women,Though,365
57,Electronics,Outdoor,Thank,1346
58,Sports,Women,Firm,1827
59,Household,Men,A,1723
60,Household,Women,List,1608
61,Electronics,Women,Entire,175
62,Sports,Outdoor,Vote,2135
63,Sports,Outdoor,Condition,1623
64,Clothing,Kitchen,Organization,453
65,Household,Kitchen,Pick,237
66,Household,Laptop,Instead,579
67,Sports,Outdoor,Reality,1164
68,Sports,Men,Age,2471
69,Sports,Outdoor,Stuff,2006
70,Clothing,Kitchen,Sure,847
71,Clothing,Mobile,However,471
72,Household,Outdoor,Doctor,2801
73,Sports,Kitchen,Poor,1736
74,Electronics,Outdoor,Exist,1363
75,Household,Women,Nor,973
76,Sports,Men,Fight,1087
77,Sports,Men,Exactly,1452
78,Household,Outdoor,Degree,2952
79,Household,Laptop,Try,658
80,Clothing,Mobile,Ever,497
81,Household,Mobile,Shake,799
82,Household,Mobile,Energy,2482
83,Electronics,Women,Treatment,2762
84,Electronics,Women,Game,2088
85,Clothing,Outdoor,Why,2875
86,Household,Kitchen,Drug,295
87,Household,Men,Method,574
88,Electronics,Laptop,Quality,2645
89,Household,Women,Could,726
90,Sports,Men,Think,604
91,Household,Outdoor,Knowledge,2377
92,Sports,Mobile,Product,798
93,Household,Mobile,Almost,2100
94,Electronics,Kitchen,Least,1644
95,Clothing,Mobile,Year,1449
96,Electronics,Laptop,Activity,2757
97,Sports,Women,Level,1052
98,Clothing,Kitchen,Top,2178
99,Household,Mobile,Teacher,2625
100,Clothing,Women,Keep,718
